SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	trial_full	is_shared1000	is_special100	shared1000_repNum	presentation_type
4	1	1	1	46003	626	0.7236226804088801	0	1.0	1792.8944760060403	0.0			0	1.0	1.0	0.0	1.0	0	1	1	0	1	new
4	1	1	2	23082	5013	0.7236689799465239	0	1.0	726.6852799803017	0.0			0	1.0	1.0	0.0	1.0	0	2	0	0	0	unknown
4	1	1	3	8031	4850	0.723715262603946	0	1.0	643.5158509993926	0.0			0	1.0	1.0	0.0	1.0	0	3	0	0	0	unknown
4	1	1	4	36381	8823	0.7237615740159526	0	1.0	733.4404249850195	0.0			0	1.0	1.0	0.0	1.0	0	4	0	0	0	unknown
4	1	1	5	2949	9538	0.7238078530644997	0	1.0	602.375001006294	0.0			0	1.0	1.0	0.0	1.0	0	5	0	0	0	unknown
4	1	1	6	56801	6061	0.7238541722763329	0	1.0	627.5087230023928	0.0			0	1.0	1.0	0.0	1.0	0	6	0	0	0	unknown
4	1	1	7	25466	4421	0.723900438984856	0	1.0	677.0417240040841	0.0			0	1.0	1.0	0.0	1.0	0	7	0	0	0	unknown
4	1	1	8	5679	3858	0.7239467692561447	0	1.0	784.2581929871811	0.0			0	1.0	1.0	0.0	1.0	0	8	0	0	0	unknown
4	1	1	9	72196	8124	0.7239930260693654	0	1.0	677.3489619954489	0.0			0	1.0	1.0	0.0	1.0	0	9	0	0	0	unknown
4	1	1	10	16441	4843	0.724039364606142	0	1.0	712.1344880142715	0.0			0	1.0	1.0	0.0	1.0	0	10	0	0	0	unknown
4	1	1	11	29265	7941	0.7240856183925642	0	1.0	806.61046601017	0.0			0	1.0	1.0	0.0	1.0	0	11	0	0	0	unknown
4	1	1	12	41499	4523	0.7241319607710465	0	1.0	768.0549020005855	0.0			0	1.0	1.0	0.0	1.0	0	12	0	0	0	unknown
4	1	1	13	37122	1070	0.7242245583329349	0	1.0	997.1334130095784	0.0			0	1.0	1.0	0.0	1.0	0	13	0	0	0	unknown
4	1	1	14	5780	9588	0.7242707974510267	0	1.0	924.76227300358	0.0			0	1.0	1.0	0.0	1.0	0	14	0	0	0	unknown
4	1	1	15	33497	4623	0.7243171555455774	0	1.0	885.895175015321	0.0			0	1.0	1.0	0.0	1.0	0	15	0	0	0	unknown
4	1	1	16	36390	3185	0.7243633889593183	0	1.0	947.8400349908042	0.0			0	1.0	1.0	0.0	1.0	0	16	0	0	0	unknown
4	1	1	17	28551	4586	0.7244097508955746	0	1.0	803.9993289858103	0.0			0	1.0	1.0	0.0	1.0	0	17	0	0	0	unknown
4	1	1	18	3053	1009	0.7244559734826908	0	1.0	1017.0462990063241	0.0			0	1.0	1.0	0.0	1.0	0	18	0	0	0	unknown
4	1	1	19	10743	8634	0.7245023482246324	0	1.0	972.681860992452	0.0			0	1.0	1.0	0.0	1.0	0	19	0	0	0	unknown
4	1	1	20	1573	9648	0.7245485539315268	0	1.0	1360.654323012568	0.0			0	1.0	1.0	0.0	1.0	0	20	0	0	0	unknown
4	1	1	21	58570	9425	0.7245949297212064	0	1.0	885.425443004351	0.0			0	1.0	1.0	0.0	1.0	0	21	0	0	0	unknown
4	1	1	22	11024	1344	0.7246411460218951	0	1.0	985.0085430080072	0.0			0	1.0	1.0	0.0	1.0	0	22	0	0	0	unknown
4	1	1	23	53367	7441	0.7247337336884812	0	1.0	815.2927340124733	0.0			0	1.0	1.0	0.0	1.0	0	23	0	0	0	unknown
4	1	1	24	65042	3902	0.7247800439363346	0	1.0	726.4981549815274	0.0			0	1.0	1.0	0.0	1.0	0	24	0	0	0	unknown
4	1	1	25	70847	8795	0.724826326360926	0	1.0	763.9107839786446	0.0			0	1.0	1.0	0.0	1.0	0	25	0	0	0	unknown
4	1	1	26	27488	1840	0.72487263137009	0	1.0	756.6242629836779	0.0			0	1.0	1.0	0.0	1.0	0	26	0	0	0	unknown
4	1	1	27	55741	1356	0.7249189146095886	0	1.0	893.5964310076087	0.0			0	1.0	1.0	0.0	1.0	0	27	0	0	0	unknown
4	1	1	28	30178	5506	0.7249652214813977	0	1.0	880.3939610079395	0.0			0	1.0	1.0	0.0	1.0	0	28	0	0	0	unknown
4	1	1	29	48618	666	0.7250114980852231	0	1.0	847.8915560117457	0.0			0	1.0	1.0	0.0	1.0	0	29	1	0	1	new
4	1	1	30	20447	8240	0.7250578011153265	0	1.0	940.8544430043548	0.0			0	1.0	1.0	0.0	1.0	0	30	0	0	0	unknown
4	1	1	31	16512	7232	0.7251040854025632	0	1.0	780.9725260012782	0.0			0	1.0	2.0	0.0	1.0	0	31	0	0	0	unknown
4	1	1	32	37774	5691	0.7251503964653238	0	1.0	761.7261789855547	0.0			0	1.0	1.0	0.0	1.0	0	32	0	0	0	unknown
4	1	1	33	48311	6661	0.7251965773757547	0	1.0	755.1266770169603	0.0			0	1.0	1.0	0.0	1.0	0	33	0	0	0	unknown
4	1	1	34	40407	2400	0.7252428752835839	0	1.0	908.9697070012335	0.0			0	1.0	1.0	0.0	1.0	0	34	0	0	0	unknown
4	1	1	35	3884	2252	0.7253354601562023	0	1.0	702.6990239974111	0.0			0	1.0	1.0	0.0	1.0	0	35	0	0	0	unknown
4	1	1	36	44981	612	0.7253817553864791	0	1.0	1084.1987270105164	0.0			0	1.0	1.0	0.0	1.0	0	36	1	0	1	new
4	1	1	37	2046	1609	0.7254280520137399	0	1.0	835.6660410063341	0.0			0	1.0	1.0	0.0	1.0	0	37	0	0	0	unknown
4	1	1	38	52463	3579	0.725474338280037	0	1.0	773.5702159989158	0.0			0	1.0	1.0	0.0	1.0	0	38	0	0	0	unknown
4	1	1	39	45206	1703	0.7255206364206969	0	1.0	1018.8212640059646	0.0			0	1.0	1.0	0.0	1.0	0	39	0	0	0	unknown
4	1	1	40	25109	9976	0.7255669280420988	0	1.0	758.1980249960906	0.0			0	1.0	1.0	0.0	1.0	0	40	0	0	0	unknown
4	1	1	41	61538	5770	0.725613224087283	0	0.0	2651.547825022135	1.0			0	0.0	1.0	1.0	2.0	0	41	0	0	0	unknown
4	1	1	42	12591	8748	0.7256595236249268	0	1.0	909.7664770088159	0.0			0	1.0	1.0	0.0	1.0	0	42	0	0	0	unknown
4	1	1	43	30286	9202	0.7257058196701109	0	1.0	710.4829029995017	0.0			0	1.0	1.0	0.0	1.0	0	43	0	0	0	unknown
4	1	1	44	42917	3123	0.725752102676779	0	1.0	882.2040520026349	0.0			0	1.0	1.0	0.0	1.0	0	44	0	0	0	unknown
4	1	1	45	32626	436	0.7257984078023582	0	1.0	1190.1961480034515	0.0			0	1.0	1.0	0.0	1.0	0	45	1	0	1	new
4	1	1	46	28551	4586	0.7258909887168556	1	1.0	1002.6887739950324	0.0	28.0		1	1.0	0.0	1.0	2.0	0	46	0	0	0	unknown
4	1	1	47	8625	1499	0.7259372796397656	0	1.0	1125.0540949986316	0.0			0	1.0	1.0	0.0	1.0	0	47	0	0	0	unknown
4	1	1	48	42586	2872	0.7259835768491029	0	1.0	953.2178030058277	0.0			0	1.0	1.0	0.0	1.0	0	48	0	0	0	unknown
4	1	1	49	34939	9173	0.726029876503162	0	1.0	1042.847675998928	0.0			0	1.0	1.0	0.0	1.0	0	49	0	0	0	unknown
4	1	1	50	39620	2665	0.7260761656798422	0	1.0	1104.2045329813843	0.0			0	1.0	1.0	0.0	1.0	0	50	0	0	0	unknown
4	1	1	51	40292	1045	0.7261224591638892	0	1.0	1004.4267180201132	0.0			0	1.0	1.0	0.0	1.0	0	51	0	0	0	unknown
4	1	1	52	30964	1974	0.7261687535792589	0	1.0	1002.4088810023386	0.0			0	1.0	1.0	0.0	1.0	0	52	0	0	0	unknown
4	1	1	53	67118	2268	0.7262150524184107	0	1.0	884.7460400138517	0.0			0	1.0	1.0	0.0	1.0	0	53	0	0	0	unknown
4	1	1	54	29186	7771	0.7262613456696271	0	1.0	901.9191410043277	0.0			0	1.0	1.0	0.0	1.0	0	54	0	0	0	unknown
4	1	1	55	17654	6336	0.7263539360137656	0	1.0	926.0610429919325	0.0			0	1.0	1.0	0.0	1.0	0	55	0	0	0	unknown
4	1	1	56	53053	727	0.7264002277515827	0	1.0	803.9764449931681	0.0			0	1.0	1.0	0.0	1.0	0	56	1	1	1	new
4	1	1	57	4931	40	0.7264464272884652	0	1.0	1873.1167940131852	0.0			0	1.0	1.0	0.0	1.0	0	57	1	0	1	new
4	1	1	58	4935	6000	0.7264927208889275	0	1.0	1102.2485389839856	0.0			0	1.0	1.0	0.0	1.0	0	58	0	0	0	unknown
4	1	1	59	50029	7046	0.726539011229761	0	1.0	930.980998004088	0.0			0	1.0	1.0	0.0	1.0	0	59	0	0	0	unknown
4	1	1	60	18199	1607	0.726585304364562	0	1.0	1004.1463350062259	0.0			0	1.0	1.0	0.0	1.0	0	60	0	0	0	unknown
4	1	1	61	54033	2132	0.7266315976157784	0	1.0	923.4839589917102	0.0			0	1.0	1.0	0.0	1.0	0	61	0	0	0	unknown
4	1	1	62	31011	5352	0.7266778916819021	0	1.0	1102.4099140195176	0.0			0	1.0	1.0	0.0	1.0	0	62	0	0	0	unknown
4	1	1	63	50771	2514	0.7267241842346265	0	1.0	765.8922669943422	0.0			0	1.0	1.0	0.0	1.0	0	63	0	0	0	unknown
4	1	2	1	12647	5730	0.7282298014033585	0	1.0	943.4498019982128	0.0			0	1.0	1.0	0.0	1.0	0	64	0	0	0	unknown
4	1	2	2	41405	4135	0.72827617789153	0	1.0	830.540288996417	0.0			0	1.0	1.0	0.0	1.0	0	65	0	0	0	unknown
4	1	2	3	67782	5169	0.7283223971026018	0	1.0	822.0094659773166	0.0			0	1.0	1.0	0.0	1.0	0	66	0	0	0	unknown
4	1	2	4	53303	5821	0.7283687631133943	0	1.0	999.2411809798797	0.0			0	1.0	1.0	0.0	1.0	0	67	0	0	0	unknown
4	1	2	5	8266	8842	0.7284149773186072	0	1.0	2183.382407994941	0.0			0	1.0	1.0	0.0	1.0	0	68	0	0	0	unknown
4	1	2	6	41405	4135	0.7284613710362464	1	1.0	835.9939510119148	0.0	3.0		1	1.0	0.0	1.0	2.0	0	69	0	0	0	unknown
4	1	2	7	26378	4990	0.7285075705731286	0	1.0	866.0866590216755	0.0			0	1.0	1.0	0.0	1.0	0	70	0	0	0	unknown
4	1	2	8	45669	9955	0.7285539575386792	0	1.0	1376.8845710146707	0.0			0	1.0	2.0	0.0	1.0	0	71	0	0	0	unknown
4	1	2	9	46328	7331	0.7286001520697027	0	1.0	1645.0082710071	1.0			0	1.0	1.0	1.0	1.0	0	72	0	0	0	unknown
4	1	2	10	9475	3470	0.7286465551005676	0	1.0	1217.029738007113	0.0			0	1.0	1.0	0.0	1.0	0	73	0	0	0	unknown
4	1	2	11	9940	9913	0.728692740900442	0	1.0	1168.2071370014455	0.0			0	1.0	1.0	0.0	1.0	0	74	0	0	0	unknown
4	1	2	12	18480	3207	0.7287853363668546	0	1.0	832.3212469986174	0.0			0	1.0	1.0	0.0	1.0	0	75	0	0	0	unknown
4	1	2	13	13676	5799	0.7288317460333928	0	1.0	2598.319333017571	0.0			0	1.0	1.0	0.0	1.0	0	76	0	0	0	unknown
4	1	2	14	12080	4068	0.7288779283408074	0	1.0	1154.320673987968	0.0			0	1.0	1.0	0.0	1.0	0	77	0	0	0	unknown
4	1	2	15	26405	2204	0.7289241267135366	0	1.0	806.7891070095357	0.0			0	1.0	1.0	0.0	1.0	0	78	0	0	0	unknown
4	1	2	16	23742	7081	0.7289704056456685	0	1.0	1103.1655090046115	0.0			0	1.0	1.0	0.0	1.0	0	79	0	0	0	unknown
4	1	2	17	18558	3632	0.7290167124010623	0	1.0	1160.8143069897778	0.0			0	1.0	1.0	0.0	1.0	0	80	0	0	0	unknown
